[      0]   INFO -   #com.intellij.util.ui.UIUtil - org.GNOME.Accessibility.AtkWrapper is blocked, see IDEA-149219 
[   1059]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-groovy.xml 
[   1497]   INFO - llij.ide.plugins.PluginManager - Plugin 'Bytecode Viewer' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1498]   INFO - llij.ide.plugins.PluginManager - Plugin 'CVS Integration' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1498]   INFO - llij.ide.plugins.PluginManager - Plugin 'Git Integration' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1499]   INFO - llij.ide.plugins.PluginManager - Plugin 'JUnit' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1499]   INFO - llij.ide.plugins.PluginManager - Plugin 'PsiViewer' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1499]   INFO - llij.ide.plugins.PluginManager - Plugin 'Subversion Integration' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1500]   INFO - llij.ide.plugins.PluginManager - Plugin 'XPathView + XSLT Support' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1500]   INFO - llij.ide.plugins.PluginManager - Plugin 'XSLT-Debugger' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1501]   INFO - llij.ide.plugins.PluginManager - Plugin 'Commander' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1501]   INFO - llij.ide.plugins.PluginManager - Plugin 'Copyright' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1501]   INFO - llij.ide.plugins.PluginManager - Plugin 'Properties Support' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1502]   INFO - llij.ide.plugins.PluginManager - Plugin 'Ant Support' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1502]   INFO - llij.ide.plugins.PluginManager - Plugin 'I18n for Java' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1502]   INFO - llij.ide.plugins.PluginManager - Plugin 'TestNG-J' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1504]   INFO - llij.ide.plugins.PluginManager - Plugin 'Coverage' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1504]   INFO - llij.ide.plugins.PluginManager - Plugin 'Stats Collector' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1505]   INFO - llij.ide.plugins.PluginManager - Plugin 'Task Management' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1506]   INFO - llij.ide.plugins.PluginManager - Plugin 'TestGuiFramework' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1507]   INFO - llij.ide.plugins.PluginManager - Plugin 'UI Designer' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1507]   INFO - llij.ide.plugins.PluginManager - Plugin 'Simple' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1508]   INFO - llij.ide.plugins.PluginManager - Plugin 'hg4idea' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1508]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliLang' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1508]   INFO - llij.ide.plugins.PluginManager - Plugin 'Groovy' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1509]   INFO - llij.ide.plugins.PluginManager - Plugin 'Eclipse Integration' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1509]   INFO - llij.ide.plugins.PluginManager - Plugin 'Maven Integration' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1509]   INFO - llij.ide.plugins.PluginManager - Plugin 'Java Bytecode Decompiler' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1510]   INFO - llij.ide.plugins.PluginManager - Plugin 'GitHub' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1510]   INFO - llij.ide.plugins.PluginManager - Plugin 'Gradle' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1510]   INFO - llij.ide.plugins.PluginManager - Plugin 'Plugin DevKit' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1510]   INFO - llij.ide.plugins.PluginManager - Plugin 'Android Support' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1511]   INFO - llij.ide.plugins.PluginManager - Plugin 'JavaFX' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1511]   INFO - llij.ide.plugins.PluginManager - Plugin 'Sample plugin for working with IntelliJ Action System' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1511]   INFO - llij.ide.plugins.PluginManager - Plugin 'Terminal' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1513]   INFO - llij.ide.plugins.PluginManager - Plugin 'YAML' can't be loaded because: 'idea.load.plugins.id' doesn't contain this plugin id 
[   1573]   INFO - llij.ide.plugins.PluginManager - 36 plugins initialized in 900 ms 
[   1574]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: IDEA CORE (999.SNAPSHOT) 
[   1574]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Plugin display name here (1.0) 
[   1574]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: Android Support (10.2.3), Ant Support (1.0), Bytecode Viewer (0.1), CVS Integration (11), Commander (999.SNAPSHOT), Copyright (8.1), Coverage (999.SNAPSHOT), Eclipse Integration (3.0), Git Integration (8.1), GitHub (999.SNAPSHOT), Gradle (999.SNAPSHOT), Groovy (9.0), I18n for Java (999.SNAPSHOT), IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (999.SNAPSHOT), JavaFX (1.0), Maven Integration (999.SNAPSHOT), Plugin DevKit (1.0), Properties Support (999.SNAPSHOT), PsiViewer (3.28.93), Sample plugin for working with IntelliJ Action System (1.0), Simple (1.0), Stats Collector (1), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), TestGuiFramework (999.SNAPSHOT), TestNG-J (8.0), UI Designer (999.SNAPSHOT), XPathView + XSLT Support (4), XSLT-Debugger (1.4), YAML (999.SNAPSHOT), hg4idea (10.0) 
[   2563]   INFO - ij.components.ComponentManager - com.intellij.openapi.components.impl.ServiceManagerImpl initialized in 108 ms 
[   2689]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=435; buffer=10; max=435 
[   2828]   INFO - ij.components.ComponentManager - com.intellij.openapi.vfs.newvfs.persistent.PersistentFSImpl initialized in 240 ms 
[   2858]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is disabled 
[   2858]   INFO - ij.components.ComponentManager - com.intellij.openapi.vfs.impl.local.LocalFileSystemImpl initialized in 270 ms 
[   2879]   INFO - ij.components.ComponentManager - com.intellij.openapi.vfs.PlatformVirtualFileManager initialized in 297 ms 
[   3165]   INFO - ij.components.ComponentManager - com.intellij.openapi.util.registry.RegistryState initialized in 19 ms 
[   3184]   INFO - ij.components.ComponentManager - com.intellij.configurationStore.StoreAwareProjectManager initialized in 12 ms 
[   3263]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
[   3263]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
[   3803]   INFO - ij.components.ComponentManager - com.intellij.openapi.fileTypes.impl.FileTypeManagerImpl initialized in 618 ms 
[   3815]   INFO - ij.components.ComponentManager - com.intellij.openapi.fileEditor.impl.FileDocumentManagerImpl initialized in 11 ms 
[   3888]   INFO - ij.components.ComponentManager - com.intellij.openapi.keymap.impl.KeymapManagerImpl initialized in 66 ms 
[   3899]   INFO - ij.components.ComponentManager - com.intellij.idea.CommandLineApplication$MyDataManagerImpl initialized in 11 ms 
[   4345]   INFO - ij.components.ComponentManager - com.intellij.openapi.actionSystem.impl.ActionManagerImpl initialized in 523 ms 
[   4409]   INFO - ij.components.ComponentManager - com.intellij.openapi.editor.impl.EditorFactoryImpl initialized in 593 ms 
[   4452]   INFO - ij.components.ComponentManager - com.intellij.history.integration.LocalHistoryImpl initialized in 42 ms 
[   4477]   INFO - ij.components.ComponentManager - com.intellij.openapi.command.impl.UndoManagerImpl initialized in 25 ms 
[   4489]   INFO - ij.components.ComponentManager - com.intellij.openapi.command.impl.DocumentReferenceManagerImpl initialized in 11 ms 
[   4503]   INFO - ij.components.ComponentManager - com.intellij.diagnostic.PerformanceWatcher initialized in 13 ms 
[   4552]   INFO - ij.components.ComponentManager - com.intellij.util.net.HttpConfigurable initialized in 25 ms 
[   4715]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
[   4724]   INFO - ij.components.ComponentManager - com.intellij.util.net.ssl.CertificateManager initialized in 171 ms 
[   4822]   INFO - ij.components.ComponentManager - com.intellij.ide.IdeTooltipManager initialized in 79 ms 
[   4836]   INFO - ij.components.ComponentManager - com.intellij.ide.ScreenReaderSupportHandler initialized in 13 ms 
[   4967]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 64463 
[   5643]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:760 
[   5673]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:30 
[   5674]   INFO - ij.components.ComponentManager - com.intellij.util.indexing.FileBasedIndexImpl initialized in 827 ms 
[   5717]   INFO - ij.components.ComponentManager - com.intellij.psi.stubs.SerializationManagerImpl initialized in 43 ms 
[   5737]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:51 
[   5741]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:4 
[   5741]   INFO - ij.components.ComponentManager - com.intellij.psi.stubs.StubIndexImpl initialized in 67 ms 
[   5761]   INFO - ij.components.ComponentManager - com.intellij.tools.ToolManager initialized in 19 ms 
[   5793]   INFO - ij.components.ComponentManager - com.intellij.openapi.roots.impl.libraries.LibraryKindLoader initialized in 30 ms 
[   5809]   INFO - ij.components.ComponentManager - com.intellij.ide.actionMacro.ActionMacroManager initialized in 12 ms 
[   5829]   INFO - ij.components.ComponentManager - com.intellij.openapi.actionSystem.ex.QuickListsManager initialized in 19 ms 
[   5845]   INFO - ij.components.ComponentManager - com.intellij.openapi.keymap.impl.ModifierKeyDoubleClickHandler initialized in 15 ms 
[   5898]   INFO - ij.components.ComponentManager - com.intellij.compiler.server.BuildManager initialized in 46 ms 
[   5964]   INFO - ij.components.ComponentManager - com.intellij.execution.ExecutorRegistryImpl initialized in 65 ms 
[   5968]   INFO - il.indexing.FileBasedIndexImpl - Version has changed for index filetypes. The index will be rebuilt. 
[   6045]   INFO - il.indexing.FileBasedIndexImpl - Version has changed for index TodoIndex. The index will be rebuilt. 
[   6053]   INFO - ij.components.ComponentManager - com.intellij.openapi.vcs.changes.actions.migrate.MigrateDiffApplicationComponent initialized in 84 ms 
[   6108]   INFO - ij.components.ComponentManager - org.intellij.plugins.relaxNG.ApplicationLoader initialized in 50 ms 
[   6176]   INFO - ij.components.ComponentManager - com.intellij.util.xml.impl.JavaDomApplicationComponent initialized in 59 ms 
[   6176]   INFO - plication.impl.ApplicationImpl - 72 application components initialized in 4519ms 
[   6207]   INFO - il.indexing.FileBasedIndexImpl - Version has changed for index IdIndex. The index will be rebuilt. 
[   6516]   INFO - pl$FileIndexDataInitialization - Initialization done:842 
[   6548]   INFO - exImpl$StubIndexInitialization - Initialization done:32 
[   6996]   INFO - ij.components.ComponentManager - com.intellij.openapi.components.impl.ServiceManagerImpl initialized in 14 ms 
[   7046]   INFO - ij.components.ComponentManager - com.intellij.openapi.vcs.impl.FileStatusManagerImpl initialized in 40 ms 
[   7057]   INFO - ij.components.ComponentManager - com.intellij.ui.EditorNotificationsImpl initialized in 11 ms 
[   7092]   INFO - ij.components.ComponentManager - com.intellij.openapi.vfs.encoding.EncodingProjectManagerImpl initialized in 34 ms 
[   7115]   INFO - ij.components.ComponentManager - com.intellij.openapi.roots.impl.ProjectRootManagerComponent initialized in 19 ms 
[   7145]   INFO - ij.components.ComponentManager - com.intellij.psi.impl.PsiManagerImpl initialized in 30 ms 
[   7174]   INFO - ij.components.ComponentManager - com.intellij.psi.impl.PsiDocumentManagerImpl initialized in 26 ms 
[   7245]   INFO - ij.components.ComponentManager - com.intellij.codeInsight.daemon.impl.DaemonCodeAnalyzerImpl initialized in 47 ms 
[   7510]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
[   7598]   INFO - ij.components.ComponentManager - com.intellij.profile.codeInspection.ProjectInspectionProfileManager initialized in 58 ms 
[   7725]   INFO - ij.components.ComponentManager - com.intellij.openapi.vcs.impl.ProjectLevelVcsManagerImpl initialized in 117 ms 
[   7903]   INFO - ij.components.ComponentManager - com.intellij.openapi.vcs.changes.ChangeListManagerImpl initialized in 177 ms 
[   7908]   INFO - ij.components.ComponentManager - com.intellij.openapi.vcs.changes.VcsDirtyScopeManagerImpl initialized in 181 ms 
[   7969]   INFO - ij.components.ComponentManager - com.intellij.codeInsight.daemon.impl.DaemonListeners initialized in 723 ms 
[   8004]   INFO - ij.components.ComponentManager - com.intellij.codeInsight.daemon.impl.GeneralHighlightingPassFactory initialized in 34 ms 
[   8042]   INFO - ij.components.ComponentManager - com.intellij.codeInsight.navigation.CtrlMouseHandler initialized in 29 ms 
[   8066]   INFO - ij.components.ComponentManager - com.intellij.facet.impl.ui.FacetDependentToolWindowManager initialized in 15 ms 
[   8107]   INFO - ij.components.ComponentManager - com.intellij.packaging.impl.artifacts.ArtifactManagerImpl initialized in 25 ms 
[   8126]   INFO - ij.components.ComponentManager - com.intellij.compiler.CompilerConfigurationImpl initialized in 19 ms 
[   8149]   INFO - ij.components.ComponentManager - com.intellij.openapi.vcs.impl.LineStatusTrackerManager initialized in 16 ms 
[   8166]   INFO - ij.components.ComponentManager - com.intellij.openapi.vcs.changes.committed.CommittedChangesCache initialized in 13 ms 
[   8327]   INFO - ij.components.ComponentManager - com.intellij.xdebugger.impl.XDebuggerManagerImpl initialized in 155 ms 
[   8356]   INFO - ij.components.ComponentManager - com.intellij.javaee.PsiExternalResourceNotifier initialized in 22 ms 
